City,Lat,Lng,Max Temp,Humidity,Cloudiness, Wind Speed,Country,Date
Port Alfred,-33.5906,26.891,20.84,68,68,5.08,ZA,1645080609
Hermanus,-34.4187,19.2345,20.5,60,0,7.7,ZA,1645080610
Gondanglegi,-7.7479,112.0132,27.93,78,100,2.96,ID,1645080610
Beringovskiy,63.05,179.3167,-24.66,95,100,6.7,RU,1645080611
Judenburg,47.1667,14.6667,2.96,93,20,1.54,AT,1645080611
Kiunga,-6.1219,141.2906,30.95,60,91,1.88,PG,1645080611
Hong Kong,22.2855,114.1577,17.2,91,100,8.49,HK,1645080344
Saryg-Sep,51.5,95.6,-13.41,85,90,1.55,RU,1645080612
Hambantota,6.1241,81.1185,32.19,62,40,1.03,LK,1645080613
Xining,36.6167,101.7667,-0.15,50,100,2.11,CN,1645080613
Nyimba,-14.5566,30.8149,21.58,94,100,1.48,ZM,1645080613
Teya,60.3778,92.6267,-13.01,85,100,4.28,RU,1645080614
Grand Gaube,-20.0064,57.6608,30.21,66,99,3.13,MU,1645080614
Airai,-8.9266,125.4092,21.03,76,91,1.27,TL,1645080615
Tuktoyaktuk,69.4541,-133.0374,-30,69,75,6.17,CA,1645080541
Bredasdorp,-34.5322,20.0403,19.6,72,7,2.57,ZA,1645080616
Tuatapere,-46.1333,167.6833,19.6,63,28,0.61,NZ,1645080616
Bathsheba,13.2167,-59.5167,25.34,69,20,9.77,BB,1645080617
Port Hardy,50.6996,-127.4199,6.53,93,75,1.54,CA,1645080617
New Norfolk,-42.7826,147.0587,24.31,25,100,2.68,AU,1645080617
Ust-Nera,64.5667,143.2,-31.68,100,26,0.17,RU,1645080618
Ancud,-41.8697,-73.8203,10.13,77,0,2.59,CL,1645080397
Kollam,8.8833,76.6,29.93,62,88,2.91,IN,1645080618
Atuona,-9.8,-139.0333,25.3,79,16,7.36,PF,1645080619
Albany,42.6001,-73.9662,9.89,73,100,4.73,US,1645080514
Sambava,-14.2667,50.1667,29.03,66,61,5.43,MG,1645080619
Kinablangan,7.6947,126.5503,27.85,66,100,4.32,PH,1645080620
Mattru,7.6244,-11.8332,22.76,98,100,0.83,SL,1645080620
Vilyuysk,63.7553,121.6247,-21.66,89,100,1.39,RU,1645080621
Cape Town,-33.9258,18.4232,21.6,58,0,2.06,ZA,1645080621
Barrow,71.2906,-156.7887,-27.99,69,75,4.12,US,1645080622
Natal,-5.795,-35.2094,25.12,94,40,0.51,BR,1645080051
Kushima,31.4583,131.2333,8.02,41,100,3.98,JP,1645080622
Nikolskoye,59.7035,30.7861,1.94,98,100,7.24,RU,1645080623
Vaini,-21.2,-175.2,27.09,89,20,1.54,TO,1645080623
Münster,51.9624,7.6257,10.26,70,40,11.83,DE,1645080445
Hobart,-42.8794,147.3294,24.51,23,0,8.23,AU,1645080508
Roald,62.5833,6.1333,2.08,87,40,2.57,NO,1645080624
Bonavista,48.6499,-53.1147,-7.71,78,100,8.83,CA,1645080624
Port Elizabeth,-33.918,25.5701,21.16,64,0,5.66,ZA,1645080625
East London,-33.0153,27.9116,21.52,64,0,6.69,ZA,1645080625
Aykhal,66,111.5,-28.66,95,24,2.68,RU,1645080626
Qaanaaq,77.484,-69.3632,-28.75,96,99,0.49,GL,1645080626
Upernavik,72.7868,-56.1549,-30.31,91,100,3.93,GL,1645080627
Castro,-24.7911,-50.0119,13.47,95,11,1.44,BR,1645080627
Nanortalik,60.1432,-45.2371,-12.7,70,41,11.75,GL,1645080628
Mataura,-46.1927,168.8643,19.73,61,100,1.38,NZ,1645080493
Jati,24.3539,68.2671,29.02,16,0,2.46,PK,1645080628
Dingle,10.9995,122.6711,29.51,57,97,5.63,PH,1645080629
Alihe,50.5667,123.7167,-10.7,56,49,1.9,CN,1645080612
Kruisfontein,-34.0033,24.7314,18.82,62,5,2.15,ZA,1645080629
Ruwi,23.5996,58.5507,24.01,48,0,3.12,OM,1645080630
Baiyin,36.5583,104.2081,3.49,52,100,5.34,CN,1645080630
Marshall,34.3834,-86.3333,17.23,65,75,2.06,US,1645080572
Saint-Augustin,51.226,-58.6502,-5.54,94,100,9.08,CA,1645080631
Mar del Plata,-38.0023,-57.5575,16.72,67,0,7.6,AR,1645080631
Codrington,-38.2667,141.9667,19.55,49,10,8.07,AU,1645080692
Hithadhoo,-0.6,73.0833,28.17,72,100,7.66,MV,1645080559
Saint-Philippe,-21.3585,55.7679,29.75,76,50,5.26,RE,1645080693
Beïnamar,8.6698,15.3813,26.34,14,2,2.55,TD,1645080693
Salalah,17.0151,54.0924,26.49,39,97,2.64,OM,1645080676
Isabela,6.7085,121.9711,32.03,60,92,2.48,PH,1645080694
Busselton,-33.65,115.3333,35.02,29,0,1.54,AU,1645080491
Mahébourg,-20.4081,57.7,30.14,74,40,5.14,MU,1645080694
Severo-Kuril'sk,50.6789,156.125,-1.92,93,100,3.8,RU,1645080695
Arraial do Cabo,-22.9661,-42.0278,23.21,77,0,1.46,BR,1645080510
Mezhdurechensk,53.6942,88.0603,-9.52,78,100,3.27,RU,1645080695
Srednekolymsk,67.45,153.6833,-34.42,100,87,1.77,RU,1645080696
Loa Janan,-0.583,117.095,29.7,69,76,1.63,ID,1645080696
Dandong,40.1292,124.3947,-3.99,42,0,5.13,CN,1645080697
Punta Arenas,-53.15,-70.9167,13.06,58,0,13.38,CL,1645080606
Okha,53.5739,142.9478,-6.79,94,100,7.08,RU,1645080697
Iwanai,42.9744,140.5089,0.21,84,59,2.09,JP,1645080698
Chapais,49.7834,-74.8492,-3.12,95,100,5.05,CA,1645080430
Clyde River,70.4692,-68.5914,-36.87,67,0,1.54,CA,1645080698
Bom Jesus da Lapa,-13.255,-43.4181,20.54,97,100,2.15,BR,1645080699
Parfino,57.9731,31.6481,2.05,95,100,7.91,RU,1645080699
Nome,64.5011,-165.4064,-10.96,52,0,10.29,US,1645080558
Bluff,-46.6,168.3333,16.61,77,79,1.94,NZ,1645080700
Tyul'gan,52.3405,56.166,-11.69,95,100,2.14,RU,1645080700
Sásd,46.2552,18.1078,5.41,69,100,7.12,HU,1645080701
Laas,46.6166,10.7002,8.7,95,94,3.63,IT,1645080701
Mt. Pleasant,32.7941,-79.8626,15.56,98,100,2.06,US,1645080499
Longyearbyen,78.2186,15.6401,-18.16,85,100,1.95,SJ,1645080541
Rikitea,-23.1203,-134.9692,25.42,72,0,4.87,PF,1645080702
Oranjemund,-28.55,16.4333,18.31,81,6,4.35,NA,1645080703
Tasiilaq,65.6145,-37.6368,-6.26,77,100,8.83,GL,1645080703
Masty,53.4122,24.5387,5.06,88,100,11.95,BY,1645080704
Vaitape,-16.5167,-151.75,27.41,72,9,6.8,PF,1645080704
Buchanan,5.8808,-10.0467,24.98,87,68,0.81,LR,1645080705
Tigil',57.8,158.6667,-14.17,95,99,2.71,RU,1645080705
Nantucket,41.2835,-70.0995,9.98,86,40,9.26,US,1645080706
Hérouville-Saint-Clair,49.2109,-0.3065,10.42,76,100,9.26,FR,1645080706
Omsukchan,62.5333,155.8,-32.91,100,91,2.87,RU,1645080707
Andros Town,24.7,-77.7667,22.98,81,20,10.17,BS,1645080707
Puerto Ayora,-0.7393,-90.3518,24.43,82,100,2.46,EC,1645080708
Souillac,-20.5167,57.5167,30.2,74,40,5.14,MU,1645080708
Nemuro,43.3236,145.575,-3.76,68,100,7,JP,1645080709
Lubumbashi,-11.6609,27.4794,19.27,94,100,2.06,CD,1645080709
Katsuura,35.1333,140.3,8.95,35,100,6.32,JP,1645080709
Kuminskiy,58.6667,66.5667,-3.21,90,100,4.33,RU,1645080710
Fortuna,40.5982,-124.1573,9.4,92,100,0,US,1645080711
Diffa,13.3154,12.6113,22.54,19,0,4.36,NE,1645080711
Atherton,53.5237,-2.4935,7.94,74,40,3.58,GB,1645080711
Bubaque,11.2833,-15.8333,25.65,62,3,2.07,GW,1645080712
Dikson,73.5069,80.5464,-32.91,99,20,2.21,RU,1645080712
Hastings,50.8552,0.5729,9.94,62,64,11.58,GB,1645080713
Lebu,-37.6167,-73.65,13.43,84,0,7.61,CL,1645080713
Khatanga,71.9667,102.5,-26.05,85,4,4.45,RU,1645080713
Shelburne,44.0787,-80.2041,6.25,98,100,7.48,CA,1645080595
Bethel,41.3712,-73.414,9.05,78,0,4.63,US,1645080714
Oddur,4.1213,43.8894,29.26,37,10,7.04,SO,1645080715
Portland,45.5234,-122.6762,9.25,88,100,1.34,US,1645080547
Vila,42.0304,-8.1588,6.85,95,80,1.61,PT,1645080775
Key Largo,25.0865,-80.4473,23.32,88,0,8.33,US,1645080776
Talnakh,69.4865,88.3972,-24.72,95,99,3.57,RU,1645080776
Torbay,47.6666,-52.7314,-6.8,84,75,4.63,CA,1645080777
Lindås,60.7381,5.16,2.1,94,100,0.43,NO,1645080777
Sylacauga,33.1732,-86.2516,16.14,67,75,2.06,US,1645080777
Batagay-Alyta,67.8006,130.4114,-29.66,85,100,0.8,RU,1645080778
Cayenne,4.9333,-52.3333,23.38,91,75,3.09,GF,1645080779
Schwabach,49.3292,11.0256,11.68,71,40,12.35,DE,1645080779
Manicoré,-5.8092,-61.3003,22.3,99,100,0.58,BR,1645080779
Vao,-22.6667,167.4833,26.29,83,100,8.86,NC,1645080780
Bintulu,3.1667,113.0333,32.23,66,20,4.12,MY,1645080780
Carnarvon,-24.8667,113.6333,43.04,11,11,5.14,AU,1645080529
Coahuayana Viejo,18.7333,-103.6833,20.64,76,0,1.91,MX,1645080781
Jamestown,42.097,-79.2353,11.03,48,100,5.66,US,1645080271
Juneau,58.3019,-134.4197,5,96,100,4.12,US,1645080781
Powell River,49.8496,-124.5361,6,78,100,1.48,CA,1645080782
Am Timan,11.0297,20.2827,27.88,11,0,4.58,TD,1645080782
Karachi,24.9056,67.0822,26.9,29,0,0,PK,1645080743
Manzanillo,20.3433,-77.1167,22.19,85,11,5.08,CU,1645080783
Lüderitz,-26.6481,15.1594,25.27,59,5,6.67,NA,1645080783
Wilmington,34.2257,-77.9447,14.92,80,100,2.96,US,1645080613
Avarua,-21.2078,-159.775,25.03,88,20,6.69,CK,1645080784
Bodden Town,19.2833,-81.25,25.52,81,9,1.34,KY,1645080494
Magán,39.9683,-3.931,8.59,69,43,0.5,ES,1645080785
Cherskiy,68.75,161.3,-37.42,100,25,0.23,RU,1645080785
Geraldton,-28.7667,114.6,41.23,9,5,3.09,AU,1645080786
Northam,51.0333,-4.2167,9.45,78,67,8.73,GB,1645080786
The Valley,18.217,-63.0578,25.05,71,6,10.43,AI,1645080604
Örnsköldsvik,63.2909,18.7153,-1.47,100,100,2.06,SE,1645080787
Basco,20.4487,121.9702,23.76,73,50,7.17,PH,1645080788
Kokopo,-4.352,152.2633,27.81,80,55,4.14,PG,1645080788
Tual,-5.6667,132.75,28.49,67,97,0.71,ID,1645080789
Muros,42.7762,-9.0603,13.81,92,100,2.81,ES,1645080789
Avera,33.194,-82.5271,14.28,96,98,3.77,US,1645080790
Tura,25.5198,90.2201,24.57,27,0,2.57,IN,1645080790
Kapaa,22.0752,-159.319,23.18,76,40,7.72,US,1645080698
Canberra,-35.2835,149.1281,30.41,41,87,7.72,AU,1645080791
Buala,-8.145,159.5921,27.95,78,100,1.1,SB,1645080791
Harrai,22.6167,79.2167,24.84,23,44,2.76,IN,1645080792
Pisco,-13.7,-76.2167,21.03,78,87,1.54,PE,1645080792
Kiryat Gat,31.61,34.7642,14.67,60,100,1.89,IL,1645080793
Praxédis Guerrero,31.3667,-106.0167,7.94,47,2,13.02,MX,1645080793
Chumikan,54.7183,135.315,-12.96,86,100,4.84,RU,1645080794
Usinsk,65.9939,57.5281,-3.4,97,100,3.45,RU,1645080795
Butaritari,3.0707,172.7902,27.76,73,0,10.5,KI,1645080500
Durango,24.8333,-104.8333,9.69,38,8,6.36,MX,1645080698
Port Hedland,-20.3167,118.5667,34.03,55,40,5.66,AU,1645080796
Jackson,42.4165,-122.8345,4.58,84,0,1.54,US,1645080732
Tazovsky,67.4667,78.7,-21.79,98,84,4.82,RU,1645080796
Tupik,54.4253,119.9327,-13.91,74,25,0.97,RU,1645080797
Saint Paul Harbor,57.79,-152.4072,2.73,75,0,2.06,US,1645080740
Synya,65.3718,58.0387,-2.63,96,100,3.64,RU,1645080857
Coyhaique,-45.5752,-72.0662,8.34,71,0,2.06,CL,1645080858
Saint Andrews,34.0454,-81.1293,14.02,80,100,1.54,US,1645080858
Zyryanka,65.75,150.85,-33.08,100,100,2.56,RU,1645080859
Acushnet,41.6807,-70.9078,8.99,93,100,1.79,US,1645080859
Hofn,64.2539,-15.2082,-0.71,68,100,8.46,IS,1645080860
Kuah,6.3265,99.8432,31,70,20,1.54,MY,1645080860
Kahului,20.8947,-156.47,24.36,79,13,1.79,US,1645080861
Tiksi,71.6872,128.8694,-31.53,100,100,0.86,RU,1645080861
Talakan,50.3167,130.3667,-11.41,80,75,3.17,RU,1645080862
Kudahuvadhoo,2.6708,72.8944,27.55,71,100,5.12,MV,1645080862
Huarmey,-10.0681,-78.1522,21.65,83,100,3.25,PE,1645080863
Poum,-20.2333,164.0167,28.2,77,21,4.88,NC,1645080863
Ucluelet,48.9329,-125.5528,3.31,91,100,1.75,CA,1645080864
Nacogdoches,31.6002,-94.6335,20.1,99,100,3.6,US,1645080864
Caravelas,-17.7125,-39.2481,23.11,94,90,1.25,BR,1645080865
Lagoa,39.05,-27.9833,16.68,80,11,13.07,PT,1645080865
Ribeira Grande,38.5167,-28.7,17.13,83,21,11.55,PT,1645080865
Hasaki,35.7333,140.8333,9.05,31,81,8.74,JP,1645080609
Los Llanos de Aridane,28.6585,-17.9182,15.86,48,100,5.36,ES,1645080866
Beyneu,45.3167,55.2,4.58,45,0,4.88,KZ,1645080866
Slave Lake,55.2834,-114.769,-12.01,79,100,4.63,CA,1645080867
Griffith,41.5284,-87.4237,9.27,91,100,10.29,US,1645080867
Mangaratiba,-22.9597,-44.0406,25.02,86,97,1.03,BR,1645080868
Praia da Vitória,38.7333,-27.0667,16.14,88,20,10.82,PT,1645080868
North Bend,43.4065,-124.2243,6.07,99,0,0,US,1645080802
Litovko,49.2361,135.1742,-11.09,91,90,1.54,RU,1645080869
Kaitangata,-46.2817,169.8464,16.66,83,100,2.43,NZ,1645080869
Sung Noen,14.8992,101.8207,31.48,100,100,0.86,TH,1645080869
Galeana,24.8333,-100.0667,15.4,36,13,7.66,MX,1645080870
Saskylakh,71.9167,114.0833,-31.11,96,89,3.14,RU,1645080870
São Borja,-28.6606,-56.0044,21.64,32,3,3.24,BR,1645080871
Wamba,8.9333,8.6,25.81,16,6,0.36,NG,1645080871
Coquimbo,-29.9533,-71.3436,18.21,84,6,0.55,CL,1645080872
Bambous Virieux,-20.3428,57.7575,29.56,74,40,5.14,MU,1645080872
Lokachi,50.737,24.6494,9.04,84,100,12.1,UA,1645080873
Kavieng,-2.5744,150.7967,28.47,72,100,3.8,PG,1645080873
Lata,40.1629,-8.3327,13.78,98,100,0.81,PT,1645080873
Hilo,19.7297,-155.09,21.25,92,100,3.6,US,1645080874
Southampton,50.904,-1.4043,9.97,81,40,4.63,GB,1645080788
Narsaq,60.9167,-46.05,-23.06,81,33,3.11,GL,1645080874
Elizabeth City,36.2946,-76.2511,12.23,89,100,2.88,US,1645080875
Qaqortoq,60.7167,-46.0333,-21.06,81,13,2.38,GL,1645080875
Norman Wells,65.282,-126.8329,-32.98,68,75,3.6,CA,1645080876
Puerto Escondido,15.85,-97.0667,25.16,73,0,2.17,MX,1645080876
Adzhamka,48.5424,32.5354,5.44,84,37,8.49,UA,1645080877
Vinci,43.7789,10.9224,9.64,91,100,0.69,IT,1645080877
Namatanai,-3.6667,152.4333,28.56,75,88,3.11,PG,1645080878
Karben,50.2302,8.7716,12.5,57,18,10.28,DE,1645080864
George Town,5.4112,100.3354,31.05,73,20,2.57,MY,1645080774
Prince Rupert,54.3161,-130.3201,6.05,93,100,8.23,CA,1645080878
Goderich,43.7501,-81.7165,6.78,93,100,8.75,CA,1645080879
Charters Towers,-20.1,146.2667,30.14,52,74,4.66,AU,1645080879
Kargasok,59.0556,80.8572,-12.98,90,100,4.99,RU,1645080880
Manitouwadge,49.1215,-85.8403,-12.6,98,87,2.36,CA,1645080880
Kutum,14.2,24.6667,18.94,14,6,2.58,SD,1645080881
Tubualá,9.5167,-79.0333,25.18,77,98,6.1,PA,1645080881
Takoradze,4.8845,-1.7554,26.32,85,89,2.09,GH,1645080941
Alta Floresta,-9.8756,-56.0861,20.86,99,100,1.16,BR,1645080942
Texarkana,33.4251,-94.0477,20.13,81,100,7.6,US,1645080943
Camiri,-20.05,-63.5167,21.68,81,70,1.25,BO,1645080943
Vallenar,-28.5708,-70.7581,18.08,79,0,2.16,CL,1645080943
Ostrovnoy,68.0531,39.5131,-10.48,97,94,2.03,RU,1645080944
Kavaratti,10.5669,72.642,27.12,66,70,5.25,IN,1645080944
Makakilo City,21.3469,-158.0858,22.05,72,0,1.54,US,1645080945
San Patricio,28.017,-97.5169,20.4,81,100,10.93,US,1645080945
Gambēla,8.25,34.5833,32.84,20,65,1.45,ET,1645080945
Garden City,42.3256,-83.331,10.08,89,100,4.63,US,1645080937
Baní,18.2833,-70.3333,23.75,73,65,5.24,DO,1645080946
Yellowknife,62.456,-114.3525,-34.28,75,20,2.57,CA,1645080879
Mercedes,-34.6515,-59.4307,18.13,74,0,6.71,AR,1645080650
Yarim,14.298,44.3779,17.31,43,5,1.6,YE,1645080947
Berlevåg,70.8578,29.0864,-4.03,68,75,3.6,NO,1645080947
Brooks,50.5834,-111.8851,-6.65,92,100,3.09,CA,1645080948
Nchelenge,-9.3451,28.734,21.8,77,99,2.68,ZM,1645080948
Ariquemes,-9.9133,-63.0408,21.76,99,100,1.23,BR,1645080949
Mount Gambier,-37.8333,140.7667,19.95,45,40,8.23,AU,1645080949
Cabedelo,-6.9811,-34.8339,24.37,72,18,2.42,BR,1645080949
São Félix do Xingu,-6.6447,-51.995,20.27,98,100,0.17,BR,1645080950
Constitución,-35.3333,-72.4167,15.82,66,0,3.39,CL,1645080950
Pevek,69.7008,170.3133,-34.76,99,69,2.35,RU,1645080951
Olafsvik,64.8945,-23.7142,-0.67,89,100,6.29,IS,1645080951
Chicama,-7.8447,-79.1469,21.72,77,100,2.02,PE,1645080952
Bengkulu,-3.8004,102.2655,29.06,62,100,3.09,ID,1645080952
Baruun-Urt,46.6806,113.2792,-13.62,83,100,3.14,MN,1645080953
Port Blair,11.6667,92.75,28.02,83,75,4.12,IN,1645080953
Ilovlya,49.3033,43.9796,-0.39,93,98,4.95,RU,1645080954
Mossamedes,-15.1961,12.1522,22.35,88,100,5.14,AO,1645080954
Banjar,-8.19,114.9675,27.92,71,100,2.44,ID,1645080954
Krasnyy Oktyabr',56.1167,38.8833,-0.86,91,100,6.13,RU,1645080955
Guerrero Negro,27.9769,-114.0611,13.89,72,0,3.97,MX,1645080955
Nola,40.922,14.5329,11.88,62,77,1.26,IT,1645080956
Lodja,-3.4833,23.4333,23.52,76,100,1.28,CD,1645080909
Zhangaözen,43.3,52.8,4.18,43,3,7.95,KZ,1645080956
Stephenville,32.2207,-98.2023,19.19,84,100,7.2,US,1645080957
Cidreira,-30.1811,-50.2056,21.29,85,3,5.62,BR,1645080957
Auburn,47.3073,-122.2284,7.4,90,93,1.34,US,1645080958
Ponta do Sol,32.6667,-17.1,16.35,71,11,2.66,PT,1645080958
Quartucciu,39.2519,9.1794,14.93,65,40,8.75,IT,1645080959
Semey,50.4111,80.2275,-11.88,67,0,3,KZ,1645080959
Kungurtug,50.5994,97.5228,-13.93,76,100,0.54,RU,1645080960
Pasni,25.2631,63.471,23.67,34,0,1.71,PK,1645080960
Yangi Marg`ilon,40.4272,71.7189,6.68,56,7,2.06,UZ,1645080960
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,25.55,39,100,0.06,AR,1645080961
Patiya,22.2931,91.9762,26.97,39,5,0,BD,1645080961
Pahrump,36.2083,-115.9839,9.79,26,0,11.62,US,1645080962
Barbosa Ferraz,-24.03,-52.0117,16.53,95,0,1,BR,1645080962
Kholodnyy,62.7167,147.95,-27.59,98,40,2.02,RU,1645080963
Ambilobe,-13.2,49.05,29.75,69,79,0.34,MG,1645080858
